"mechanism","dominance","r2_dominant_parent","R2_linear_both","gain"
"C3-ITGB2",0.9935,0.812347727342952,0.815316796126471,0.00296906878351899
"C3-LRP1",0.832346153846154,0.390783443329198,0.398686987574193,0.00790354424499479
"C4B-CD46",0.555884615384615,0.0725698041228685,0.087819153509454,0.0152493493865855
"CALCA-CALCR",0.521807692307692,0.895262369299738,0.897362390256234,0.00210002095649642
"CALCA-CALCRL",0.9565,0.193088873477538,0.204198119757808,0.0111092462802705
"CALCA-RAMP1",0.973346153846154,0.289857305515221,0.300221362794845,0.0103640572796231
"CALCA-RAMP2",0.994576923076923,0.5189305321126,0.524271601911803,0.00534106979920357
"CALM1-ABCA1",0.999692307692308,0.99358200218185,0.993590289225998,8.28704414779224e-06
"CALM1-ADCY8",1,1,1,0
"CALM1-ADCYAP1R1",1,1,1,0
"CALM1-CACNA1C",0.967961538461538,0.505398048415312,0.536119413199604,0.0307213647842922
"CALM1-CALCR",1,1,1,0
"CALM1-EGFR",0.999384615384615,0.988354629205119,0.98835583183051,1.20262539193838e-06
"CALM1-FAS",1,1,1,4.44089209850063e-16
"CALM1-GLP2R",1,1,1,0
"CALM1-GRM3",1,1,1,0
"CALM1-GRM4",1,1,1,0
"CALM1-GRM5",0.999961538461538,0.997590440665593,0.997616843317803,2.64026522098781e-05
"CALM1-GRM7",0.868230769230769,0.545441507471336,0.590540725823438,0.0450992183521021
"CALM1-HMMR",0.999115384615385,0.989417443846977,0.989422688741137,5.24489416064977e-06
"CALM1-HTR2C",1,1,1,0
"CALM1-INSR",0.999923076923077,0.999938562503805,0.999938604573138,4.2069333461292e-08
"CALM1-KCNN4",1,1,1,0
"CALM1-KCNQ1",0.999961538461538,0.996863462897602,0.99686349503903,3.21414284076837e-08
"CALM1-KCNQ3",0.999846153846154,0.912700272483825,0.917632616213568,0.00493234372974216
"CALM1-KCNQ5",0.992346153846154,0.764987447730974,0.767677028548815,0.0026895808178411
"CALM1-MYLK",0.997,0.941873954546879,0.94204445519866,0.000170500651780925
"CALM1-OPRM1",1,1,1,0
"CALM1-PDE1A",0.999461538461539,0.978390206501937,0.978405150388897,1.4943886960106e-05
"CALM1-PDE1B",1,1,1,0
"CALM1-PDE1C",0.999423076923077,0.995368602284399,0.995407560578543,3.89582941445754e-05
"CALM1-PTPRA",0.999653846153846,0.999578861206233,0.999579662133619,8.00927385635752e-07
"CALM1-SELL",0.999961538461538,0.9999334743274,0.999933475408282,1.08088182848576e-09
"CALM1-TRPC3",0.999961538461538,0.999417272429489,0.999417776076846,5.03647357152914e-07
"CALM1-TRPC5",1,1,1,0
"CALM1-VIPR1",1,1,1,0
"CALM2-ABCA1",0.997576923076923,0.962804821587455,0.962838521641067,3.37000536124732e-05
"CALM2-ADCY8",1,1,1,0
"CALM2-CACNA1C",0.951807692307692,0.39742972645671,0.447248725354607,0.0498189988978973
"CALM2-EGFR",0.997346153846154,0.940767704847302,0.940771448569988,3.74372268541201e-06
"CALM2-GRM5",0.999961538461538,0.999125155131997,0.999140888515516,1.57333835192341e-05
"CALM2-GRM7",0.797923076923077,0.438656837922783,0.575655926699851,0.136999088777068
"CALM2-INSR",0.999615384615385,0.994624982751011,0.994630786597352,5.80384634163433e-06
"CALM2-KCNQ1",0.999730769230769,0.983079448512387,0.983079455421283,6.90889645493797e-09
"CALM2-KCNQ3",0.999846153846154,0.898763123585323,0.906240061268198,0.00747693768287461
"CALM2-KCNQ5",0.985961538461538,0.695919058082594,0.699880452895163,0.00396139481256919
"CALM2-MYLK",0.985884615384615,0.832427798209676,0.832444467395833,1.66691861569479e-05
"CALM2-PDE1A",0.9985,0.974138019153181,0.974159696200646,2.16770474643635e-05
"CALM2-PDE1B",1,1,1,0
"CALM2-PDE1C",0.998230769230769,0.956794351415337,0.957398544181728,0.000604192766390788
"CALM2-SELL",0.999923076923077,0.997271134509134,0.997271477227839,3.42718705081957e-07
"CALM2-TRPC5",0.999961538461538,0.999304575241489,0.999304898952632,3.23711143002114e-07
"CALR-ITGA2B",0.998115384615385,0.784268164808422,0.784449614825739,0.000181450017317952
"CALR-ITGA3",0.999692307692308,0.958136272491755,0.958299573703877,0.000163301212121048
"CALR-ITGAV",0.9985,0.969038934652753,0.969824463845759,0.000785529193005896
"CALR-LRP1",0.991923076923077,0.980285774733537,0.981267399883052,0.00098162514951583
"CALR-SCARF1",1,1,1,0
"CAMP-EGFR",0.829653846153846,0.0548922762608723,0.0548953064909297,3.0302300573562e-06
"CAMP-IGF1R",0.920615384615385,0.215493163252678,0.21900743267955,0.00351426942687164
"CAMP-P2RX7",0.654461538461538,0.112531121201315,0.112604416459571,7.32952582563062e-05
"CCK-CCKBR",0.993384615384615,0.640455072524159,0.642378560442741,0.0019234879185821
"CCL11-ACKR4",0.696038461538462,0.11189471604146,0.150055721845546,0.0381610058040861
"CCL11-CCR2",0.503076923076923,0.071691321274419,0.161432754114791,0.0897414328403723
"CCL2-ACKR4",0.566038461538461,0.068690207630808,0.166260191646936,0.0975699840161283
"CCL2-CCR1",0.705884615384615,0.0999329269585431,0.185805084735461,0.0858721577769179
"CCL2-CCR2",0.783192307692308,0.111433899014119,0.15546180275807,0.0440279037439513
"CCL2-CCR4",1,1,1,0
"CCL25-ACKR4",0.928076923076923,0.234784853173185,0.300422217639157,0.0656373644659715
"CCL25-CCR9",0.958807692307692,0.282822054012985,0.300626408754756,0.0178043547417703
"CCL7-ACKR4",0.535923076923077,0.0989534529672969,0.164268774494314,0.0653153215270168
"CCL7-CCR1",0.700769230769231,0.0759436983369829,0.142994230631528,0.067050532294545
"CCL7-CCR2",0.810038461538461,0.0913281695060063,0.13448082045584,0.0431526509498337
"CD14-ITGA4",0.998653846153846,0.957730058217144,0.957770057476997,3.99992598533183e-05
"CD14-ITGB1",0.999884615384615,0.988062642380835,0.988069099314879,6.45693404355274e-06
"CD34-SELL",0.9655,0.377378404307917,0.38080995073415,0.00343154642623344
"CDH1-CDH2",0.821269230769231,0.332934338633448,0.334126002172034,0.00119166353858596
"CDH1-EGFR",0.750384615384615,0.389965751968244,0.487481843114094,0.0975160911458503
