"mechanism","ligand","receptor","frac_from_ligand","dominance","dominant","r_dominant","r_other","max_r_any_input_gene","nearest_gene"
"TCN2-CNR1","Tcn2","Cnr1",0.393846153846154,0.606153846153846,"receptor",0.309999238316455,0.360986349966521,0.445808025712122,"Nmbr"
"TCN2-LRP2","Tcn2","Lrp2",0.0314615384615385,0.968538461538462,"receptor",0.605115480132125,0.154491271377027,0.605115480132121,"Lrp2"
"TCTN1-TMEM67","Tctn1","Tmem67",0.750692307692308,0.750692307692308,"ligand",0.421911193842672,0.313154093942196,0.427874485539422,"Ntsr1"
"TFPI-F3","Tfpi","F3",0.0201538461538462,0.979846153846154,"receptor",0.604396181258364,0.120926438268694,0.604396181258364,"F3"
"TFPI-LRP1","Tfpi","Lrp1",0.883269230769231,0.883269230769231,"ligand",0.83960377332244,0.452530711652155,0.839603773322439,"Tfpi"
"TFPI-SDC4","Tfpi","Sdc4",0.342961538461538,0.657038461538461,"receptor",0.457022613487982,0.377557358987411,0.45702261348798,"Sdc4"
"TFPI-VLDLR","Tfpi","Vldlr",0.195346153846154,0.804653846153846,"receptor",0.638845162354701,0.295759133965437,0.6388451623547,"Vldlr"
"TG-ASGR1","Tg","Asgr1",0.197769230769231,0.802230769230769,"receptor",0.76587977595848,0.860075137802131,0.860075137802123,"Tg"
"TG-LRP2","Tg","Lrp2",0.449961538461538,0.550038461538461,"receptor",0.334075345127638,0.544388194909847,0.544388194909845,"Tg"
"TGFA-EGFR","Tgfa","Egfr",0.909269230769231,0.909269230769231,"ligand",0.611979151156746,0.110567350113031,0.611979151156746,"Tgfa"
"TGFA-ERBB2","Tgfa","Erbb2",0.894846153846154,0.894846153846154,"ligand",0.605284393406004,0.117815878354907,0.605284393406007,"Tgfa"
"TGFA-ERBB3","Tgfa","Erbb3",0.783961538461538,0.783961538461538,"ligand",0.450390244454823,0.177031810811394,0.450390244454823,"Tgfa"
"TGFA-ERBB4","Tgfa","Erbb4",0.937153846153846,0.937153846153846,"ligand",0.866609599911546,0.185043528347123,0.866609599911543,"Tgfa"
"TGFB1-ACVRL1","Tgfb1","Acvrl1",0.927923076923077,0.927923076923077,"ligand",0.830641789681688,0.229057713222919,0.830641789681693,"Tgfb1"
"TGFB1-CAV1","Tgfb1","Cav1",0.999346153846154,0.999346153846154,"ligand",0.985585922411634,0.187671573443383,0.985585922411633,"Tgfb1"
"TGFB1-CD109","Tgfb1","Cd109",0.887384615384615,0.887384615384615,"ligand",0.752581164671732,0.189420153527725,0.752581164671725,"Tgfb1"
"TGFB1-CXCR4","Tgfb1","Cxcr4",0.280423076923077,0.719576923076923,"receptor",0.987145883433913,0.373297547672339,0.987145883433913,"Cxcr4"
"TGFB1-ENG","Tgfb1","Eng",0.984038461538462,0.984038461538462,"ligand",0.938209748636945,0.187119670551701,0.938209748636942,"Tgfb1"
"TGFB1-ITGAV","Tgfb1","Itgav",0.997269230769231,0.997269230769231,"ligand",0.94808966834202,0.165853592911699,0.948089668342021,"Tgfb1"
"TGFB1-ITGB6","Tgfb1","Itgb6",0.168576923076923,0.831423076923077,"receptor",0.332412108200486,0.270550651093502,0.542113998144181,"Agrp"
"TGFB1-ITGB8","Tgfb1","Itgb8",0.803538461538462,0.803538461538462,"ligand",0.651852079775946,0.16882297761362,0.651852079775952,"Tgfb1"
"TGFB1-SDC2","Tgfb1","Sdc2",0.995076923076923,0.995076923076923,"ligand",0.950476422520405,0.17101563906519,0.950476422520398,"Tgfb1"
"TGFB1-TGFBR1","Tgfb1","Tgfbr1",0.997461538461539,0.997461538461539,"ligand",0.979841890603924,0.170839053488896,0.979841890603927,"Tgfb1"
"TGFB1-TGFBR2","Tgfb1","Tgfbr2",0.997384615384615,0.997384615384615,"ligand",0.957663154932515,0.224677773337585,0.957663154932512,"Tgfb1"
"TGFB1-TGFBR3","Tgfb1","Tgfbr3",0.991192307692308,0.991192307692308,"ligand",0.937880959088064,0.20466878115199,0.937880959088059,"Tgfb1"
"TGFB2-ACVR1","Tgfb2","Acvr1",0.321961538461538,0.678038461538462,"receptor",0.696968972247154,0.386313081934034,0.696968972247158,"Acvr1"
"TGFB2-ENG","Tgfb2","Eng",0.270846153846154,0.729153846153846,"receptor",0.628023900000794,0.379770578655766,0.628023900000798,"Eng"
"TGFB2-TGFBR1","Tgfb2","Tgfbr1",0.565307692307692,0.565307692307692,"ligand",0.551132302221891,0.508496283309855,0.551132302221893,"Tgfb2"
"TGFB2-TGFBR2","Tgfb2","Tgfbr2",0.580923076923077,0.580923076923077,"ligand",0.596118505050356,0.639150507689063,0.639150507689066,"Tgfbr2"
"TGFB2-TGFBR3","Tgfb2","Tgfbr3",0.391730769230769,0.608269230769231,"receptor",0.633656961836922,0.43206193174975,0.633656961836924,"Tgfbr3"
"TGFB3-ACVRL1","Tgfb3","Acvrl1",0.210346153846154,0.789653846153846,"receptor",0.71075898023776,0.354863775004681,0.710758980237759,"Acvrl1"
"TGFB3-ENG","Tgfb3","Eng",0.473576923076923,0.526423076923077,"receptor",0.532604672850191,0.473963815424436,0.532604672850196,"Eng"
"TGFB3-TGFBR1","Tgfb3","Tgfbr1",0.699884615384615,0.699884615384615,"ligand",0.641849119721106,0.447540317772539,0.6418491197211,"Tgfb3"
"TGFB3-TGFBR2","Tgfb3","Tgfbr2",0.747,0.747,"ligand",0.75419109855341,0.655107881404962,0.75419109855341,"Tgfb3"
"TGFB3-TGFBR3","Tgfb3","Tgfbr3",0.567730769230769,0.567730769230769,"ligand",0.560891579851505,0.569808150997498,0.569808150997498,"Tgfbr3"
"TGM2-ITGA4","Tgm2","Itga4",0.477115384615385,0.522884615384615,"receptor",0.288254784227997,0.295362342421771,0.29536234242177,"Tgm2"
"TGM2-ITGA9","Tgm2","Itga9",0.740076923076923,0.740076923076923,"ligand",0.648432618643958,0.305568909202544,0.64843261864396,"Tgm2"
"TGM2-ITGB1","Tgm2","Itgb1",0.962961538461538,0.962961538461538,"ligand",0.955014777541057,0.329172833494086,0.955014777541056,"Tgm2"
"TGM2-ITGB3","Tgm2","Itgb3",0.0633461538461538,0.936653846153846,"receptor",0.616924525744216,0.168804330831471,0.616924525744215,"Itgb3"
"TGM2-SDC4","Tgm2","Sdc4",0.408423076923077,0.591576923076923,"receptor",0.480937490672247,0.284380150246679,0.480937490672248,"Sdc4"
"TGM2-TBXA2R","Tgm2","Tbxa2r",0.0295,0.9705,"receptor",0.782785115420819,0.123065852900772,0.782785115420817,"Tbxa2r"
"THBS1-CD36","Thbs1","Cd36",0.382846153846154,0.617153846153846,"receptor",0.368716655744835,0.182558310098179,0.376664271323839,"Agrp"
"THBS1-CD47","Thbs1","Cd47",0.822730769230769,0.822730769230769,"ligand",0.656994267876693,0.241002166062056,0.656994267876695,"Thbs1"
"THBS1-ITGA2B","Thbs1","Itga2b",0.126076923076923,0.873923076923077,"receptor",0.791014583789813,0.244940623607738,0.791014583789816,"Itga2b"
"THBS1-ITGA3","Thbs1","Itga3",0.0682307692307692,0.931769230769231,"receptor",0.603573104974744,0.227919401399447,0.603573104974748,"Itga3"
"THBS1-ITGA4","Thbs1","Itga4",0.479653846153846,0.520346153846154,"receptor",0.330517235928739,0.360560319178204,0.360560319178204,"Thbs1"
"THBS1-ITGA6","Thbs1","Itga6",0.465230769230769,0.534769230769231,"receptor",0.546020689284499,0.435967954056872,0.5460206892845,"Itga6"
"THBS1-ITGB1","Thbs1","Itgb1",0.945,0.945,"ligand",0.817766690060988,0.348695900682947,0.817766690060995,"Thbs1"
"THBS1-ITGB3","Thbs1","Itgb3",0.0693846153846154,0.930615384615385,"receptor",0.769805923211256,0.192211923071518,0.769805923211252,"Itgb3"
"THBS1-LRP1","Thbs1","Lrp1",0.865923076923077,0.865923076923077,"ligand",0.693686570390391,0.339160499816123,0.693686570390393,"Thbs1"
"THBS1-LRP5","Thbs1","Lrp5",0.238769230769231,0.761230769230769,"receptor",0.691553139236157,0.289681080687244,0.691553139236158,"Lrp5"
