"mechanism","rho_true","rho_null","spearman_true","spearman_null"
"CALM1-MYLK",0.100443213756248,0.0211951706263449,0.302493486243334,0.385934758170363
"CALM1-OPRM1",0.552072966177328,0.822208815016821,0.684927885520945,0.66026871295875
"CALM1-PDE1A",0.0585705011302395,0.623377364357492,0.493935463177192,0.661099848512323
"CALM1-PDE1B",0.617916569514472,-0.287697686131148,0.568390339115962,-0.234986669366503
"CALM1-PDE1C",0.200179750353864,-0.00219335421626555,0.524500503036471,0.214274257057074
"CALM1-PTPRA",0.353653431065331,0.109707963882291,0.632758667399165,0.494504140995967
"CALM1-SELL",-0.0277747673497934,0.0526203701121135,0.0535557672207812,0.41846497892422
"CALM1-TRPC3",0.22526926879916,0.134513246767361,0.598818430024424,0.562137050790371
"CALM1-TRPC5",0.122851873858035,-0.274460196682423,0.672187951651166,-0.240623023786311
"CALM1-VIPR1",0.104547544789995,0.0817134957201878,0.620068748633693,0.425298010348074
"CALM2-ABCA1",0.0648931554481239,-0.0804180147384698,0.46756052874514,0.100883346447597
"CALM2-ADCY8",0.59188601544704,0.729881409537051,0.67273258705889,0.706373663003511
"CALM2-CACNA1C",0.0513896357239146,0.225871302079214,0.506432825995406,0.60966219411625
"CALM2-EGFR",-0.0349574314691976,-0.0500920349462802,0.373727087401736,0.325974464051168
"CALM2-GRM5",0.709502697335886,0.0577629477579309,0.549810664614877,0.619993115027983
"CALM2-GRM7",-0.0310921668235911,-0.170590234389102,0.00522769258738735,0.237412708590392
"CALM2-INSR",0.145621316248662,0.00944341353881423,0.493368070340212,0.460458709225986
"CALM2-KCNQ1",-0.0312192924039873,0.149851931704484,0.389426884594054,0.607787710191994
"CALM2-KCNQ3",0.530197585726879,-0.0421918543798259,0.561694058345929,0.37839850382353
"CALM2-KCNQ5",0.0655339623752255,-0.0741820433564648,0.396786932196203,0.0603852187632007
"CALM2-MYLK",-0.036328631537642,0.469981808060442,0.251802304338579,0.691260013344832
"CALM2-PDE1A",0.036901851693337,0.107327274026424,0.493362074723453,0.550844398290052
"CALM2-PDE1B",0.692033358559581,0.107507796048527,0.603184223013359,0.628774831560318
"CALM2-PDE1C",0.209823751041977,0.188344246429095,0.540416748089374,0.621855209574205
"CALM2-SELL",-0.0562847069778645,0.680086722453541,0.00331320071564311,0.658997724160329
"CALM2-TRPC5",0.128787610925517,-0.0424667203483422,0.695507280434182,0.197499026746642
"CALR-ITGA2B",-0.00627345062217207,0.148752558372994,0.223480996135555,0.329118263985041
"CALR-ITGA3",0.11191681731251,0.110052798818782,0.438313005318624,0.521935206475098
"CALR-ITGAV",0.353044824601513,0.199202930623018,0.581597618438185,0.466728476260067
"CALR-LRP1",0.534662894542521,0.0518599452517652,0.632981667166905,0.304619408918759
"CALR-SCARF1",0.141774991045569,0.488614079426839,0.465952812980813,0.500173080419009
"CAMP-EGFR",-0.0632443014111827,-0.046996022013123,-0.185739482742218,-0.143889128609986
"CAMP-IGF1R",-0.0828612488612717,-0.0274917166725801,-0.178412691460556,-0.0749321085999223
"CAMP-P2RX7",-0.0491370032229692,-0.0518779228902241,-0.142446849877083,-0.129414904637505
"CCK-CCKBR",0.0476806674012383,0.181518623051138,0.507975096731643,0.561899489175545
"CCL11-ACKR4",0.0142339040823664,0.0639678122024077,0.369634670511066,0.484448376919416
"CCL11-CCR2",0.0354669698520543,0.00652760461892775,0.484723990975354,0.42162267060322
"CCL2-ACKR4",0.0309217123691812,0.154718665410062,0.454933406258322,0.588838670391546
"CCL2-CCR1",0.054047447155454,-0.0550463322787435,0.574824132272043,0.0569783113166498
"CCL2-CCR2",0.0322663100349832,0.0145953376372672,0.498458844432859,0.551572593923127
"CCL2-CCR4",0.118750321784468,0.116282499724876,0.718213337989164,0.500735286028625
"CCL25-ACKR4",0.0856853148325667,-0.0530267559951017,0.404300006096711,0.238127613981072
"CCL25-CCR9",0.0482489424385829,-0.0236670874053058,0.393776336612323,0.340857647641915
"CCL7-ACKR4",0.0396037502466618,0.0217922727815821,0.493609911939113,0.606246083202913
"CCL7-CCR1",0.0328147252618173,0.0433626485661306,0.566682576448438,0.497476853711106
"CCL7-CCR2",0.0330724700482536,0.0374417584419422,0.511610032600698,0.564929239546436
"CD14-ITGA4",0.0516752592366254,0.0288723180263024,0.104817668386963,0.32543838111023
"CD14-ITGB1",0.0334415590669845,0.00950323450939946,0.486927049932869,0.387278095744494
"CD34-SELL",-0.0367693841714029,0.105132968024541,0.0874559219416166,0.418938938528699
"CDH1-CDH2",-0.0671701460689114,0.115118126314059,0.00424873218448265,0.0613804560512
"CDH1-EGFR",0.157054017914554,0.00411469309033918,0.21949071055068,0.142572145131251
"CDH1-ERBB3",0.0747159717744001,0.107181692878805,0.259778054898852,0.303033277635575
"CDH1-IGF1R",0.0772613200456111,0.00180758737989316,0.219146978365602,0.189449480149618
"CDH1-ITGAE",0.0186285116845975,-0.014873857590234,0.297698368837287,0.192719196185406
"CDH1-LRP5",0.137197825324017,-0.071519327906539,0.265619676901577,-0.0003450927369693
"CDH1-PTPRF",0.309330583156789,-0.0348525277781762,0.30267970619741,0.18584539270232
"CDH1-PTPRM",0.0514039482103673,0.060349892855364,0.16905784709146,0.203437417878776
"CFH-ITGAM",0.164179276210231,-0.00583607323714946,0.320002756845703,0.122012678978398
"CFH-SELL",-0.00872029464879336,0.0194433910085022,0.231707691130428,0.204518794588842
"CGN-F11R",0.127224699314832,0.0733395577535483,0.36453731472155,0.477243089162968
"CGN-OCLN",0.236360163957443,0.0614267930238796,0.528965401259735,0.42415837452891
"CGN-TGFBR1",0.0681338823947877,0.0375782862003955,0.368938941108808,0.333904034658939
"CGN-TGFBR2",0.0396074389478303,-0.004308220659431,0.220067395753855,0.258013225073301
"CHAD-ITGA2",-0.0120331264208274,-0.00863984987986646,0.185793626127824,0.169195176571864
"CHAD-ITGB1",0.0327733186140477,0.0374523298848046,0.310484603472041,0.256279589488807
"CLCF1-CNTFR",0.0253942418115363,-0.0956352266633485,0.491542798520489,-0.0996146008305632
"CLCF1-CRLF1",0.184882881552204,-0.00531768754095304,0.466501014875798,0.219574800539881
"CLCF1-IL6ST",0.131009298138407,0.0956553009785034,0.476306843326125,0.414975304786832
"CLCF1-LIFR",0.0740092254454167,0.133867926114317,0.427269144840293,0.440013624063061
"CLEC11A-KIT",0.0913098792563766,0.00996570462142391,0.394715291132374,0.351094042729201
"CNTF-CNTFR",0.037693429520805,-0.0217962586180478,0.537589960990745,0.244117599391162
"CNTF-IL6ST",0.0343914812949748,0.058249447635045,0.377990074427614,0.482303415822706
"CNTF-LIFR",0.0448975183396029,0.0730590069387074,0.448173128345955,0.358417754814683
"CNTN2-CNTN1",0.430127039483908,0.0283488680566603,0.471760639636651,0.316553504903641
"CNTN2-CNTNAP2",0.407557490217072,0.0320230305089398,0.4934008687688,0.367831642289009
"CNTN2-NRCAM",0.424021569551092,-0.0110803505501999,0.530008751690272,0.269712122074449
"CNTN2-NRP1",-0.0130083044484653,0.0774460719413511,0.298969431273623,0.413587551454784
"CNTN4-PTPRG",0.145131450044808,-0.00309246992494858,0.451032270271213,0.366146118125159
"COL11A1-DDR1",-0.0787442173126786,0.136778619917081,0.074823442247463,0.35974225910021
"COL11A1-ITGA2",0.0323396664954937,-0.0485410838204001,0.187135453320068,-0.112910109078269
"COL11A1-ITGB1",0.131061234081194,0.0748199726274698,0.334812737835749,0.210878946035438
"COL14A1-CD44",0.293603704996044,0.0770557139788569,0.369000119264338,0.224996963497833
"COL18A1-GPC1",0.152590296328902,0.40267375608432,0.292169411672303,0.516469679083763
