"mechanism","ligand","receptor","matched_partner","dom_gap","dom_true","R2_true","switchcoh_true","dom_null","R2_null","switchcoh_null"
"DHH-CDON","Dhh","Cdon","Fxyd6",0,0.997961538461538,0.570402327422427,0.997445326107993,0.997961538461538,0.514086443568419,0.997484033288175
"DHH-HHIP","Dhh","Hhip","Cd109",0.000115384615384628,0.975884615384615,0.279335495000062,0.982252757886588,0.975769230769231,0.219269971922865,0.982020514805496
"DHH-PTCH1","Dhh","Ptch1","Csf1r",0,0.9955,0.337642914723415,0.995703502999806,0.9955,0.367682382353625,0.995645442229534
"DHH-PTCH2","Dhh","Ptch2","Grm3",0.0128461538461538,0.915692307692308,0.0923213619554369,0.963615250628992,0.928538461538462,0.105054278885837,0.969672924327463
"DKK1-KREMEN1","Dkk1","Kremen1","Itga8",0,1,1,1,1,1,1
"DKK1-KREMEN2","Dkk1","Kremen2","Ror1",3.84615384615428e-05,0.999961538461538,0.999999999906106,0.999922585639636,1,1,1
"DKK1-LRP5","Dkk1","Lrp5","Tek",0,1,1,1,1,1,1
"DKK1-LRP6","Dkk1","Lrp6","Fzd2",0,1,1,1,1,1,1
"DKK2-KREMEN2","Dkk2","Kremen2","Musk",0.00419230769230761,0.956807692307692,0.455397931740287,0.974550029030385,0.961,0.4774398579223,0.976698277530482
"DKK2-LRP6","Dkk2","Lrp6","Itgb8",3.84615384615428e-05,0.806192307692308,0.495175381156889,0.904044900329011,0.806230769230769,0.22669836769992,0.90361912134701
"DLK1-NOTCH1","Dlk1","Notch1","Cd36",0.0014615384615384,0.976538461538462,0.811284898807838,0.980839945809948,0.978,0.866679350618287,0.986820205148055
"DLK1-NOTCH2","Dlk1","Notch2","Ror1",0.00111538461538463,0.982423076923077,0.902770036947161,0.978343332688214,0.981307692307692,0.795126206923012,0.980588349138765
"DLK1-NOTCH3","Dlk1","Notch3","Sell",0.000807692307692287,0.993346153846154,0.931284173307061,0.990884459067157,0.994153846153846,0.85073967124445,0.996245403522353
"DLK1-NOTCH4","Dlk1","Notch4","F3",3.84615384615428e-05,0.998846153846154,0.943455304594865,0.998258176891813,0.998884615384615,0.79763662884369,0.998354944842268
"DLK2-NOTCH1","Dlk2","Notch1","Sort1",0.000230769230769257,0.966115384615385,0.455810018287017,0.974066189278111,0.965884615384615,0.500316321308407,0.969866460228372
"DLL1-NOTCH1","Dll1","Notch1","Cd9",0.00134615384615377,0.978423076923077,0.602209130080503,0.9800851557964,0.979769230769231,0.564171090893312,0.981323785562222
"DLL1-NOTCH2","Dll1","Notch2","Ptgir",0.00103846153846154,0.980846153846154,0.546562739112031,0.981710857364041,0.981884615384615,0.441919032238971,0.991329591639249
"DLL1-NOTCH3","Dll1","Notch3","Plxna1",0.00323076923076926,0.966769230769231,0.450480326728553,0.971105089994194,0.97,0.468853142041351,0.974124250048384
"DLL1-NOTCH4","Dll1","Notch4","Robo4",0.00873076923076932,0.839730769230769,0.261625777803671,0.925411263789433,0.831,0.204066767324242,0.924230694793884
"DLL3-NOTCH1","Dll3","Notch1","Cdh19",0.00911538461538464,0.920076923076923,0.571643005344727,0.97646603444939,0.910961538461538,0.105703136005587,0.970756725372557
"DLL3-NOTCH2","Dll3","Notch2","Itgb5",0.00680769230769229,0.920807692307692,0.558241636050678,0.979407780143217,0.927615384615385,0.617275459078827,0.978652990129669
"DLL3-NOTCH3","Dll3","Notch3","Sstr2",0.0027307692307692,0.887730769230769,0.497689530006814,0.971608283336559,0.885,0.372626082513327,0.968453648151732
"DLL3-NOTCH4","Dll3","Notch4","Tacr1",0.00800000000000001,0.754576923076923,0.339352625205104,0.94809367137604,0.746576923076923,0.408225874795394,0.935939616798916
"DLL4-NOTCH1","Dll4","Notch1","Robo2",0.00134615384615377,0.980846153846154,0.615499930467106,0.978053028836849,0.9795,0.564721157417696,0.979794851945036
"DLL4-NOTCH2","Dll4","Notch2","Tfrc",0.00142307692307697,0.979538461538462,0.453741614993343,0.979040061931488,0.978115384615385,0.5312989896834,0.977511128314302
"DLL4-NOTCH3","Dll4","Notch3","Ddr1",0.00257692307692314,0.960115384615385,0.436939471960314,0.963770079349719,0.962692307692308,0.407475573735661,0.963499129088446
"DLL4-NOTCH4","Dll4","Notch4","Lrp11",0.00476923076923075,0.853769230769231,0.166123940197318,0.926301528933617,0.849,0.163791799044702,0.932030191600542
"DSCAM-DCC","Dscam","Dcc","Ldlr",0.00307692307692309,0.780961538461538,0.873840241995355,0.910102574027482,0.777884615384615,0.305623860543133,0.950454809367138
"DUSP18-CD151","Dusp18","Cd151","Cmklr1",0.00384615384615383,0.913884615384615,0.446214923639719,0.92475324172634,0.910038461538462,0.190648536724966,0.946158312366944
"DUSP18-ITGA1","Dusp18","Itga1","Unc5a",0.00107692307692309,0.883730769230769,0.370007186562554,0.918269789045868,0.884807692307692,0.269649323642429,0.929959357460809
"DUSP18-ITGA2","Dusp18","Itga2","Rtn4rl1",0.0108076923076923,0.805230769230769,0.193432897501049,0.894987420166441,0.794423076923077,0.205733051123959,0.900522546932456
"DUSP18-ITGA3","Dusp18","Itga3","Bcam",0.0183461538461538,0.762461538461539,0.228213241910856,0.895838978130443,0.780807692307692,0.386269552736526,0.916798916198955
"DUSP18-ITGA6","Dusp18","Itga6","Dcbld2",0.000115384615384628,0.931769230769231,0.518083287311298,0.934313915231275,0.931884615384615,0.51034383499823,0.934642926262822
"DUSP18-ITGA7","Dusp18","Itga7","Kcnq3",0.0194615384615384,0.6295,0.19888945101999,0.899477453067544,0.610038461538462,0.297354500486271,0.902032126959551
"DUSP18-ITGB1","Dusp18","Itgb1","Mchr1",0.00211538461538463,0.997153846153846,0.915673488467416,0.995471259918715,0.999269230769231,0.779773980893638,0.999225856396362
"DUSP18-ITGB4","Dusp18","Itgb4","Rtn4r",0.00542307692307686,0.894384615384615,0.250405039213246,0.944377782078576,0.888961538461538,0.522667107553204,0.959280046448616
"EBI3-IL6ST","Ebi3","Il6st","Ntrk2",0.000192307692307714,0.971,0.515427205498558,0.9734468743952,0.971192307692308,0.741907217569592,0.974279078769112
"ECM1-CACHD1","Ecm1","Cachd1","Pecam1",0.000769230769230855,0.964692307692308,0.625238188047804,0.975730598025934,0.963923076923077,0.609418494169073,0.973369460034836
"EDA-EDA2R","Eda","Eda2r","Ptprs",0.0075384615384616,0.968038461538462,0.379251225476335,0.970737371782466,0.975576923076923,0.736324840104064,0.970098703309464
"EDIL3-ITGAV","Edil3","Itgav","Nrxn3",0.00473076923076921,0.721615384615385,0.288647063813749,0.914824850009677,0.726346153846154,0.844505831924295,0.898296884071995
"EDIL3-ITGB5","Edil3","Itgb5","Lrp4",0.00215384615384617,0.7605,0.251635050786495,0.927211147667892,0.758346153846154,0.309717243440771,0.904122314689375
"EDN1-EDNRA","Edn1","Ednra","Pde1c",0.001,0.971884615384615,0.400369736492926,0.973698471066383,0.972884615384615,0.316487868957956,0.973504935165473
"EDN1-EDNRB","Edn1","Ednrb","Lrp6",0.00323076923076926,0.985038461538462,0.551563799236195,0.982949487129863,0.988269230769231,0.550753788560717,0.985329978711051
"EDN1-KEL","Edn1","Kel","Alox5",0.00734615384615389,0.907230769230769,0.201874210626151,0.953590090961873,0.899884615384615,0.229493531233002,0.963324946777627
"EDN3-EDNRA","Edn3","Ednra","Mc4r",0.00184615384615383,0.938192307692308,0.581328140358763,0.959899361331527,0.940038461538461,0.170107803291388,0.971395393845558
